track type=wiggle_0 name="Cons 100 Verts" description="100 vertebrates conservation by PhastCons"
#	output date: 2023-11-16 04:59:13 UTC
#	chrom specified: chr11
#	position specified: 66546395-66563334
#	This data has been compressed with a minor loss in resolution.
#	(Worst case: 0.0078125)  The original source data
#	(before querying and compression) is available at 
#		http://hgdownload.soe.ucsc.edu/downloads.html
variableStep chrom=chr11 span=1
66546395	1
66546396	1
66546397	1
66546398	0.913386
66546399	0.692913
66546400	0.023622
66546401	0
66546402	0
66546403	0
66546404	0.00787402
66546405	0
66546406	0
66546407	0
66546408	0
66546409	0
66546410	0
66546411	0
66546412	0
66546413	0
66546414	0
66546415	0.0866142
66546416	0.244094
66546417	0.968504
66546418	1
66546419	1
66546420	1
66546421	1
66546422	1
66546423	0.984252
66546424	0.0551181
66546425	0
66546426	0
66546427	0
66546428	0.188976
66546429	0.330709
66546430	0.338583
66546431	0.314961
66546432	0.299213
66546433	0
66546434	0
66546435	0
66546436	0
66546437	0
66546438	0
66546439	0
66546440	0
66546441	0
66546442	0.370079
66546443	0.496063
66546444	0.480315
66546445	0.496063
66546446	0.393701
66546447	0.559055
66546448	0.559055
66546449	0.913386
66546450	0.937008
66546451	0.952756
66546452	0.92126
66546453	0.897638
66546454	0.866142
66546455	0
66546456	0
66546457	0
66546458	0
66546459	0
66546460	0.0551181
66546461	0.0944882
66546462	0.110236
66546463	0.11811
66546464	0.511811
66546465	0.905512
66546466	0.905512
66546467	0.968504
66546468	0.984252
66546469	0.96063
66546470	0.866142
66546471	0.015748
66546472	0
66546473	0
66546474	0
66546475	0
66546476	0
66546477	0
66546478	0
66546479	0
66546480	0
66546481	0
66546482	0
66546483	0
66546484	0
66546485	0
66546486	0
66546487	0
66546488	0
66546489	0
66546490	0
66546491	0
66546492	0
66546493	0
66546494	0
66546495	0
66546496	0.0551181
66546497	0.0629921
66546498	0
66546499	0
66546500	0
66546501	0
66546502	0
66546503	0
66546504	0
66546505	0
66546506	0.0314961
66546507	0.0708661
66546508	0.401575
66546509	0.464567
66546510	0.519685
66546511	0.590551
66546512	0.606299
66546513	0.551181
66546514	0.448819
66546515	0.362205
66546516	0
66546517	0
66546518	0
66546519	0
66546520	0.283465
66546521	0.299213
66546522	0.181102
66546523	0.0472441
66546524	0.0393701
66546525	0.0393701
66546526	0
66546527	0
66546528	0
66546529	0
66546530	0
66546531	0
66546532	0
66546533	0
66546534	0
66546535	0
66546536	0
66546537	0
66546538	0
66546539	0
66546540	0
66546541	0
66546542	0
66546543	0
66546544	0
66546545	0.023622
66546546	0.0314961
66546547	0
66546548	0
66546549	0
66546550	0
66546551	0
66546552	0
66546553	0
66546554	0
66546555	0
66546556	0
66546557	0
66546558	0
66546559	0
66546560	0
66546561	0.0393701
66546562	0
66546563	0
66546564	0
66546565	0
66546566	0
66546567	0
66546568	0
66546569	0
66546570	0
66546571	0
66546572	0
66546573	0
66546574	0
66546575	0
66546576	0
66546577	0
66546578	0
66546579	0.00787402
66546580	0
66546581	0
66546582	0
66546583	0
66546584	0
66546585	0
66546586	0
66546587	0
66546588	0
66546589	0
66546590	0.023622
66546591	0
66546592	0
66546593	0
66546594	0.00787402
66546595	0
66546596	0
66546597	0
66546598	0
66546599	0
66546600	0
66546601	0
66546602	0
66546603	0
66546604	0
66546605	0
66546606	0
66546607	0
66546608	0
66546609	0
66546610	0
66546611	0
66546612	0
66546613	0
66546614	0
